Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
ИнвентаризацияОС | Инвентаризация ОС
ИнвентаризацияТМЦВЭксплуатации | Инвентаризация ТМЦ в эксплуатации
ИнкассацияДенежныхСредствВБанк | Инкассация ДС в банк
ИнкассацияДенежныхСредствИзБанка | Инкассация ДС из банка
ИспользованиеБронированияПодотчетнымЛицом | Использование бронирования подотчетным лицом
ИсправлениеОшибок | Исправление ошибок
ИсправлениеПрочегоНачисленияНДС | Исправление прочего начисления НДС
ИсправлениеРасходовНДД | Исправление расходов НДД
КомиссияПоЭквайрингу | Комиссия по эквайрингу
КонвертацияВалюты | Конвертация валюты
КонвертацияВалютыПодотчетнымЛицом | Конвертация валюты подотчетным лицом
КорректировкаАрендныхОбязательств | Корректировка арендных обязательств
КорректировкаВидаДеятельностиНДС | Корректировка вида деятельности НДС
КорректировкаДоВводаОстатков | Корректировка до ввода остатков
КорректировкаЗадолженности | Корректировка задолженности
КорректировкаНалогообложенияНДСПартийТоваров | Корректировка налогообложения НДС партий товаров
КорректировкаОбесцененияНМА | Корректировка обесценения НМА
КорректировкаОбесцененияОС | Корректировка обесценения ОС
КорректировкаОбособленногоУчета | Корректировка обособленного учета
КорректировкаОтчетаПереработчика | Корректировка отчета переработчика
КорректировкаПоСогласованиюСторон | Корректировка по согласованию сторон
КорректировкаПриобретенияПрошлогоПериода | Корректировка приобретения прошлого периода
КорректировкаПриобретенияСоСписаниемНаРасходы | Корректировка приобретения со списанием на расходы
КорректировкаПриобретенияСОтражениемНаПрочихДоходах | Корректировка приобретения с отражением на прочих доходах
КорректировкаПриобретенияУвеличениеЗадолженностиСводно | Увеличение задолженности (сводно)
КорректировкаПриобретенияУменьшениеЗадолженностиСводно | Уменьшение задолженности (сводно)
КорректировкаРасходовОтВыбытияОС | Корректировка расходов от выбытия ОС
КорректировкаРеализацииСоСписаниемНаРасходы | Корректировка реализации со списанием на расходы
КорректировкаРеализацииСОтражениемНаПрочихДоходах | Корректировка реализации с отражением на прочих доходах
КорректировкаРеализацииУвеличениеЗадолженностиСводно | Увеличение задолженности (сводно)
КорректировкаРеализацииУменьшениеЗадолженностиСводно | Уменьшение задолженности (сводно)
КорректировкаСтоимостиИАмортизацииНМА | Корректировка стоимости и амортизации НМА
КорректировкаСтоимостиИАмортизацииОС | Корректировка стоимости и амортизации ОС
КорректировкаСтоимостиТМЦОприходованныхПриВыбытииОС | Корректировка стоимости ТМЦ оприходованных при выбытии ОС
КурсовыеРазницыАрендаПрибыль | Курсовые разницы по аренде (прибыль)
КурсовыеРазницыАрендаУбыток | Курсовые разницы по аренде (убыток)
КурсовыеРазницыДепозитыПрибыль | Курсовые разницы по депозитам (прибыль)
КурсовыеРазницыДепозитыУбыток | Курсовые разницы по депозитам (убыток)
КурсовыеРазницыДСПрибыль | Курсовые разницы по денежным средствам (прибыль)
